教学楼,楼层,走廊段,走廊方向,分段X,分段Y,沿走廊位置,实验室名称,房间位置,前门牌,后门牌,东到西门牌分布,长,宽,所属学院,实验室类型,容量,备注
明理楼,1,主走廊,东西,0,0,0,计算机组成原理实验室,北,101,101,东到西递增,9.6,7.2,计算机学院,专业实验室,48,单门
明理楼,1,主走廊,东西,0,0,10.3,网络工程实验室,北,103,105,东到西递增,12.4,7.2,计算机学院,专业实验室,56,前后双门
明理楼,1,主走廊,东西,0,0,23.4,大学物理实验室A,北,107,107,东到西递增,8.4,6.8,物理学院,基础实验室,40,单门
明理楼,1,主走廊,东西,0,0,0,电子技术实验室,南,102,104,东到西递增,11.2,7.0,电子信息学院,专业实验室,52,前后双门
明理楼,1,主走廊,东西,0,0,11.9,电路分析实验室,南,106,106,东到西递增,8.8,6.5,电子信息学院,基础实验室,42,单门
明理楼,1,主走廊,东西,0,0,21.4,机器视觉实验室,南,108,110,东到西递增,13.0,7.4,人工智能学院,科研实验室,30,前后双门
明理楼,2,主走廊,东西,0,8,0,数据结构实验室,北,201,201,东到西递减,9.0,6.8,计算机学院,专业实验室,50,单门
明理楼,2,主走廊,东西,0,8,9.7,操作系统实验室,北,203,205,东到西递减,12.0,7.0,计算机学院,专业实验室,54,前后双门
明理楼,2,主走廊,东西,0,8,0,智能机器人实验室,南,202,204,东到西递减,12.8,7.6,人工智能学院,科研实验室,28,前后双门
明理楼,2,主走廊,东西,0,8,13.5,信号处理实验室,南,206,206,东到西递减,9.2,6.6,电子信息学院,专业实验室,44,单门
明理楼,2,东翼,南北,26,8,0,嵌入式创新实验室,东,208,210,东到西递减,10.0,6.4,电子信息学院,科研实验室,24,T型东翼
明理楼,2,东翼,南北,26,8,10.7,算法竞赛训练室,东,212,212,东到西递减,8.8,6.2,计算机学院,训练室,36,T型东翼单门
明理楼,2,东翼,南北,26,8,20.2,楼层端头研讨室,南端,214,214,东到西递减,7.2,5.8,人工智能学院,研讨室,18,东翼端头
博学楼,1,主走廊,东西,8,6,0,有机化学实验室,北,101,103,东到西递增,12.2,7.8,化学学院,专业实验室,36,前后双门
博学楼,1,主走廊,东西,8,6,12.9,无机化学实验室,北,105,105,东到西递增,9.8,7.2,化学学院,基础实验室,40,单门
博学楼,1,主走廊,东西,8,6,0,微生物实验室,南,102,102,东到西递增,8.6,6.8,生命科学学院,专业实验室,32,单门
博学楼,1,主走廊,东西,8,6,9.3,细胞培养实验室,南,104,106,东到西递增,11.8,7.4,生命科学学院,科研实验室,24,前后双门
博学楼,1,西翼,南北,8,0,0,植物组织培养室,西,108,108,东到西递增,8.2,5.8,生命科学学院,科研实验室,20,L型西翼
博学楼,1,西翼,南北,8,0,8.9,低温样品室,北端,110,110,东到西递增,6.2,5.0,化学学院,辅助房间,12,西翼端头
博学楼,2,主走廊,东西,0,0,0,材料力学实验室,北,201,203,东到西递减,12.6,7.6,土木工程学院,专业实验室,42,前后双门
博学楼,2,主走廊,东西,0,0,13.3,结构测试实验室,北,205,205,东到西递减,10.2,7.0,土木工程学院,专业实验室,38,单门
博学楼,2,主走廊,东西,0,0,0,环境监测实验室,南,202,204,东到西递减,12.0,7.2,环境学院,专业实验室,34,前后双门
博学楼,2,主走廊,东西,0,0,12.7,水处理实验室,南,206,206,东到西递减,9.4,6.8,环境学院,基础实验室,36,单门
博学楼,2,主走廊,东西,0,0,24.0,端头设备间,东端,208,208,东到西递减,5.8,5.2,环境学院,辅助房间,8,主走廊东端房间
